"name"	"SN2003cg"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"1"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"N.Elias-Rosa et al., 2006, astro-ph/0603316"	"alias"	"3"
"source"	"name"	"VSNET Oct2003"	"alias"	"4"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"5"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"6"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Itagaki, Arbour"
"photometry"	"timeunit"	"MJD"	"time"	"52761.49"	"band"	"U"	"abmag"	"20.31"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52761.49"	"band"	"V"	"abmag"	"16.19"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52761.73696"	"band"	"B"	"abmag"	"18.667"	"aberr"	"0.035"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52761.73943"	"band"	"V"	"abmag"	"16.349"	"aberr"	"0.017"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52761.74122"	"band"	"R"	"abmag"	"15.407"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52761.74265"	"band"	"I"	"abmag"	"14.528"	"aberr"	"0.018"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52762.51"	"band"	"B"	"abmag"	"19.06"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52762.51"	"band"	"I"	"abmag"	"14.58"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52762.51"	"band"	"R"	"abmag"	"15.52"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52762.51"	"band"	"U"	"abmag"	"20.48"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52762.51"	"band"	"V"	"abmag"	"16.25"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52762.88"	"band"	"R"	"abmag"	"15.4"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52764.49"	"band"	"B"	"abmag"	"19.05"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52764.49"	"band"	"I"	"abmag"	"14.7"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52764.49"	"band"	"R"	"abmag"	"15.63"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52764.49"	"band"	"U"	"abmag"	"20.43"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52764.49"	"band"	"V"	"abmag"	"16.41"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.18"	"band"	"R"	"instrument"	"kait3"	"abmag"	"15.72500"	"aberr"	"0.04000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52765.18"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.56200"	"aberr"	"0.04600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52765.18"	"band"	"B"	"instrument"	"kait3"	"abmag"	"18.71400"	"aberr"	"0.25900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52765.51"	"band"	"B"	"abmag"	"19.04"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.51"	"band"	"I"	"abmag"	"14.8"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.51"	"band"	"R"	"abmag"	"15.69"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.51"	"band"	"U"	"abmag"	"20.43"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.51"	"band"	"V"	"abmag"	"16.44"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52765.74637"	"band"	"V"	"abmag"	"16.66"	"aberr"	"0.031"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52765.74884"	"band"	"R"	"abmag"	"15.676"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52765.75062"	"band"	"I"	"abmag"	"14.955"	"aberr"	"0.096"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52765.9"	"band"	"R"	"abmag"	"15.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52766.35"	"band"	"V"	"abmag"	"16.47"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52766.49"	"band"	"B"	"abmag"	"19.1"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52766.49"	"band"	"I"	"abmag"	"14.87"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52766.49"	"band"	"R"	"abmag"	"15.73"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52766.49"	"band"	"U"	"abmag"	"20.55"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52766.49"	"band"	"V"	"abmag"	"16.5"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.35"	"band"	"B"	"abmag"	"19.1"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.35"	"band"	"I"	"abmag"	"14.91"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.35"	"band"	"R"	"abmag"	"15.79"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.87"	"band"	"B"	"abmag"	"19.05"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.87"	"band"	"I"	"abmag"	"14.96"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.87"	"band"	"R"	"abmag"	"15.8"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52767.87"	"band"	"V"	"abmag"	"16.66"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52772.20"	"band"	"I"	"instrument"	"kait3"	"abmag"	"15.22200"	"aberr"	"0.01300"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52772.20"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.03600"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52772.20"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.84400"	"aberr"	"0.03200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52772.20"	"band"	"B"	"instrument"	"kait3"	"abmag"	"19.00500"	"aberr"	"0.32200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52774.19"	"band"	"I"	"instrument"	"kait3"	"abmag"	"15.32900"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52774.19"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.07800"	"aberr"	"0.01900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52774.19"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.85100"	"aberr"	"0.04000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52774.19"	"band"	"B"	"instrument"	"kait3"	"abmag"	"19.01700"	"aberr"	"0.19200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52776.02"	"band"	"I"	"abmag"	"15.29"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52776.02"	"band"	"R"	"abmag"	"16.15"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52776.02"	"band"	"V"	"abmag"	"16.99"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52777.19"	"band"	"I"	"instrument"	"kait3"	"abmag"	"15.42500"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52777.19"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.19300"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52777.19"	"band"	"V"	"instrument"	"kait3"	"abmag"	"16.96500"	"aberr"	"0.04100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52780.19"	"band"	"I"	"instrument"	"kait3"	"abmag"	"15.63000"	"aberr"	"0.01800"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52780.19"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.32400"	"aberr"	"0.01800"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52780.19"	"band"	"V"	"instrument"	"kait3"	"abmag"	"17.04600"	"aberr"	"0.02900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52781.44"	"band"	"B"	"abmag"	"19.26"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52781.44"	"band"	"I"	"abmag"	"15.66"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52781.44"	"band"	"R"	"abmag"	"16.37"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52781.44"	"band"	"U"	"abmag"	"20.64"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52781.44"	"band"	"V"	"abmag"	"17.03"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52781.64235"	"band"	"V"	"abmag"	"17.027"	"aberr"	"0.019"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52782.34"	"band"	"I"	"abmag"	"15.69"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52782.34"	"band"	"R"	"abmag"	"16.39"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52782.34"	"band"	"V"	"abmag"	"17.03"	"aberr"	"0.1"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52782.84"	"band"	"R"	"abmag"	"15.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52783.19"	"band"	"I"	"instrument"	"kait3"	"abmag"	"15.75000"	"aberr"	"0.01800"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52783.19"	"band"	"R"	"instrument"	"kait3"	"abmag"	"16.40300"	"aberr"	"0.01700"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52783.19"	"band"	"V"	"instrument"	"kait3"	"abmag"	"17.17000"	"aberr"	"0.03700"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52790.42"	"band"	"B"	"abmag"	"19.33"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52790.42"	"band"	"I"	"abmag"	"16.14"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52790.42"	"band"	"R"	"abmag"	"16.6"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52790.42"	"band"	"U"	"abmag"	"20.78"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52790.42"	"band"	"V"	"abmag"	"17.39"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52790.66539"	"band"	"B"	"abmag"	"19.454"	"aberr"	"0.109"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52790.66858"	"band"	"V"	"abmag"	"17.399"	"aberr"	"0.035"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52790.67105"	"band"	"R"	"abmag"	"16.638"	"aberr"	"0.032"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52790.67284"	"band"	"I"	"abmag"	"16.148"	"aberr"	"0.035"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52791.22"	"band"	"I"	"instrument"	"nickel"	"abmag"	"15.92000"	"aberr"	"0.01500"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52791.22"	"band"	"R"	"instrument"	"nickel"	"abmag"	"16.60400"	"aberr"	"0.01700"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52791.22"	"band"	"V"	"instrument"	"nickel"	"abmag"	"17.38500"	"aberr"	"0.01800"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52791.22"	"band"	"B"	"instrument"	"nickel"	"abmag"	"19.01000"	"aberr"	"0.07200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52792.66206"	"band"	"B"	"abmag"	"19.523"	"aberr"	"0.065"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52792.66523"	"band"	"V"	"abmag"	"17.362"	"aberr"	"0.021"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52792.66772"	"band"	"R"	"abmag"	"16.672"	"aberr"	"0.018"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52794.6594"	"band"	"R"	"abmag"	"16.695"	"aberr"	"0.02"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52794.66118"	"band"	"I"	"abmag"	"16.23"	"aberr"	"0.021"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52796.86"	"band"	"I"	"abmag"	"16.22"	"aberr"	"0.12"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52808.52"	"band"	"B"	"abmag"	"19.58"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52808.52"	"band"	"I"	"abmag"	"16.76"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52808.52"	"band"	"R"	"abmag"	"17.21"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52808.52"	"band"	"V"	"abmag"	"17.75"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52814.51"	"band"	"B"	"abmag"	"19.6"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52814.51"	"band"	"I"	"abmag"	"16.91"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52814.51"	"band"	"R"	"abmag"	"17.38"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52814.51"	"band"	"V"	"abmag"	"17.95"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52962.7"	"band"	"R"	"abmag"	"20.75"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52962.7"	"band"	"V"	"abmag"	"21.09"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53034.73"	"band"	"B"	"abmag"	"23.02"	"aberr"	"0.18"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53034.73"	"band"	"I"	"abmag"	"20.01"	"aberr"	"0.17"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53034.73"	"band"	"R"	"abmag"	"21.23"	"aberr"	"0.28"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53034.73"	"band"	"V"	"abmag"	"21.68"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53113.58"	"band"	"B"	"abmag"	"24.12"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53113.58"	"band"	"I"	"abmag"	"21.58"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53113.58"	"band"	"R"	"abmag"	"22.59"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53113.58"	"band"	"V"	"abmag"	"22.95"	"aberr"	"0.12"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53132.47"	"band"	"B"	"abmag"	"24.74"	"aberr"	"0.17"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53132.47"	"band"	"I"	"abmag"	"21.89"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53132.47"	"band"	"R"	"abmag"	"22.22"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"53132.47"	"band"	"V"	"abmag"	"22.92"	"aberr"	"0.14"	"source"	"2,3"
