#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-02T16:20:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5687f89e0b00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/200/12/table6
#-nav=cat:J/ApJS/200/12&tab:{J/ApJS/200/12/table6}&key:source=J/ApJS/200/12/table6&HTTPPRM:&&-ref=VIZ5687f89e0b00&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=Filt&-out=MJD&-out=N&-out=sigPip&-out=sigPhot&-out=mag&-out=e_mag&-out=Per&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/200/12/table6
#-source=J/ApJS/200/12/table6
#-order=I
#-out=SN
#-out=Filt
#-out=MJD
#-out=N
#-out=sigPip
#-out=sigPhot
#-out=mag
#-out=e_mag
#-out=Per
#

#RESOURCE=yCat_22000012
#Name: J/ApJS/200/12
#Title: CfA4: light curves for 94 type Ia SNe (Hicken+, 2012)
#Table	J_ApJS_200_12_table6:
#Name: J/ApJS/200/12/table6
#Title: Standard system SN photometry
#Column	SN	(a14)	Supernova identifier	[ucd=meta.id;meta.main]
#Column	Filt	(A2)	Filter used in the observation (BUVi'r'u')	[ucd=instr.setup;obs]
#Column	MJD	(F11.5)	Modified Julian Date of observation	[ucd=time.epoch]
#Column	N	(I2)	Number of successful subtractions (1)	[ucd=meta.number]
#Column	sigPip	(F7.4)	Median pipeline-generated uncertainty (2)	[ucd=stat.error;phot.mag]
#Column	sigPhot	(F7.4)	Standard deviation of surviving photometry for that date	[ucd=stat.stdev;phot.mag]
#Column	mag	(F7.4)	Observed magnitude in Filter	[ucd=phot.mag]
#Column	e_mag	(F7.4)	Total uncertainty in mag (3)	[ucd=stat.error;phot.mag]
#Column	Per	(A3)	[one/two] Period the photometry belongs to (only for table 5) (4)	[ucd=meta.code]
SN|Filt|MJD|N|sigPip|sigPhot|mag|e_mag|Per
2008ar        |V |54587.12840| 3| 0.0470| 0.0222|18.7315| 0.0520|
2008ar        |V |54594.19673| 2| 0.0510| 0.0049|18.9478| 0.0512|
2008ar        |V |54597.33787| 3| 0.0520| 0.0172|18.9340| 0.0548|
2008ar        |V |54603.28392| 3| 0.0740| 0.0229|19.0325| 0.0775|
2008ar        |V |54615.26233| 3| 0.0760| 0.0875|19.2700| 0.1159|
2008ar        |V |54617.24621| 2| 0.0780| 0.0042|19.5222| 0.0781|
2008ar        |V |54621.26757| 3| 0.0930| 0.0520|19.6355| 0.1066|
2008ar        |r'|54526.45751| 4| 0.0180| 0.0289|16.9314| 0.0341|
2008ar        |r'|54529.35093| 4| 0.0175| 0.0150|16.6082| 0.0230|
2008ar        |r'|54532.37618| 4| 0.0205| 0.0372|16.5342| 0.0425|
2008ar        |r'|54533.38913| 4| 0.0165| 0.0191|16.4099| 0.0253|
2008ar        |r'|54534.45072| 4| 0.0150| 0.0084|16.3947| 0.0172|
2008ar        |r'|54535.33733| 4| 0.0160| 0.0162|16.3786| 0.0228|
2008ar        |r'|54537.21694| 4| 0.0160| 0.0124|16.3927| 0.0202|
2008ar        |r'|54538.36418| 4| 0.0165| 0.0249|16.4094| 0.0298|
2008ar        |r'|54540.35918| 4| 0.0165| 0.0199|16.4666| 0.0259|
2008ar        |r'|54543.43409| 4| 0.0170| 0.0196|16.6255| 0.0260|
2008ar        |r'|54557.40325| 4| 0.0190| 0.0553|17.1352| 0.0584|
2008ar        |r'|54558.31928| 4| 0.0210| 0.0413|17.2068| 0.0463|
2008ar        |r'|54565.35718| 4| 0.0220| 0.0299|17.4831| 0.0371|
2008ar        |r'|54568.30502| 4| 0.0290| 0.0309|17.6984| 0.0424|
2008ar        |r'|54570.28108| 3| 0.0260| 0.0191|17.7759| 0.0323|
2008ar        |r'|54578.29622| 4| 0.0320| 0.0668|18.1956| 0.0741|
2008ar        |r'|54582.16873| 3| 0.0310| 0.0601|18.2344| 0.0677|
2008ar        |r'|54584.27855| 3| 0.0370| 0.0537|18.4211| 0.0652|
2008ar        |r'|54585.31267| 3| 0.0360| 0.0470|18.4160| 0.0592|
2008ar        |r'|54587.12609| 3| 0.0370| 0.0388|18.4497| 0.0536|
2008ar        |r'|54594.19440| 3| 0.0410| 0.0435|18.6918| 0.0598|
2008ar        |r'|54597.33554| 3| 0.0460| 0.0471|18.7702| 0.0658|
2008ar        |r'|54603.28162| 3| 0.0640| 0.0441|19.0110| 0.0777|
2008ar        |r'|54615.26002| 3| 0.0770| 0.0225|19.3327| 0.0802|
2008ar        |r'|54617.24390| 4| 0.0800| 0.2023|19.4913| 0.2175|
2008ar        |r'|54621.26525| 4| 0.0925| 0.1933|19.5976| 0.2142|
2008ar        |r'|54624.19794| 3| 0.0880| 0.1448|19.7134| 0.1694|
2008ar        |r'|54634.19382| 4| 0.2410| 0.1448|20.4190| 0.2812|
2008ar        |i'|54526.45518| 3| 0.0220| 0.0241|17.2691| 0.0326|
2008ar        |i'|54529.34861| 4| 0.0220| 0.0262|16.9915| 0.0342|
2008ar        |i'|54532.37387| 3| 0.0250| 0.0101|17.0034| 0.0270|
2008ar        |i'|54533.38682| 4| 0.0195| 0.0224|16.9781| 0.0297|
2008ar        |i'|54534.44841| 4| 0.0190| 0.0321|17.0306| 0.0373|
2008ar        |i'|54535.33501| 4| 0.0180| 0.0154|17.0160| 0.0237|
2008ar        |i'|54537.21464| 4| 0.0200| 0.0501|17.0518| 0.0540|
2008ar        |i'|54538.36188| 4| 0.0200| 0.0184|17.0777| 0.0271|
2008ar        |i'|54540.35687| 4| 0.0205| 0.0225|17.1545| 0.0304|
2008ar        |i'|54543.43177| 2| 0.0250| 0.0354|17.2979| 0.0433|
2008ar        |i'|54557.40094| 4| 0.0255| 0.0291|17.5303| 0.0387|
2008ar        |i'|54558.31697| 4| 0.0240| 0.0247|17.4545| 0.0344|
2008ar        |i'|54565.35486| 4| 0.0240| 0.0366|17.5654| 0.0438|
2008ar        |i'|54568.30271| 4| 0.0320| 0.0592|17.7270| 0.0673|
2008ar        |i'|54570.27876| 4| 0.0295| 0.0373|17.8745| 0.0476|
2008ar        |i'|54578.29391| 4| 0.0445| 0.0420|18.4084| 0.0612|
2008ar        |i'|54582.16640| 4| 0.0450| 0.0716|18.4536| 0.0845|
2008ar        |i'|54584.27624| 4| 0.0500| 0.0694|18.6544| 0.0855|
2008ar        |i'|54585.31035| 2| 0.0490| 0.0700|18.6631| 0.0854|
2008ar        |i'|54587.12379| 3| 0.0610| 0.0482|18.7924| 0.0778|
2008ar        |i'|54594.19211| 4| 0.0685| 0.1811|19.0432| 0.1937|
2008ar        |i'|54597.33323| 4| 0.0925| 0.1877|19.4347| 0.2093|
2008ar        |i'|54603.27929| 3| 0.1610| 0.2374|20.0127| 0.2868|
2008ar        |i'|54615.25771| 3| 0.1350| 0.3034|19.9297| 0.3321|
2008ar        |i'|54617.24159| 4| 0.1425| 0.1977|19.9318| 0.2437|
2008ar        |i'|54621.26294| 2| 0.1925| 0.3465|20.2108| 0.3964|
2008ar        |i'|54624.19560| 3| 0.1570| 0.1195|20.0835| 0.1973|
2008ar        |i'|54634.19151| 1| 0.2760| 0.1510|20.4837| 0.3146|
2008at        |B |54530.27215|10| 0.0270| 0.0382|18.0820| 0.0468|
2008at        |B |54539.18345| 5| 0.0490| 0.1128|19.0114| 0.1230|
2008at        |B |54551.23197| 5| 0.1330| 0.2300|20.4288| 0.2657|
2008at        |B |54556.20317| 3| 0.2030| 0.2644|21.0062| 0.3333|
2008at        |B |54558.17178| 4| 0.2060| 0.2869|20.9372| 0.3532|
2008at        |B |54561.23571| 4| 0.1830| 0.3152|20.8612| 0.3645|
2008at        |B |54567.29972| 5| 0.1460| 0.3035|20.5593| 0.3368|
2008at        |B |54569.17181| 4| 0.2195| 0.2643|20.8872| 0.3436|
2008at        |B |54579.16492| 2| 0.2535| 0.2086|21.2291| 0.3283|
2008at        |B |54584.16316| 4| 0.2695| 0.2923|21.0041| 0.3976|
2008at        |B |54586.16630| 3| 0.2680| 0.3517|21.2847| 0.4422|
2008at        |B |54593.20690| 2| 0.2805| 0.2602|21.1206| 0.3826|
2008at        |B |54596.15718| 2| 0.2465| 0.1450|21.1255| 0.2860|
2008at        |B |54597.27985| 5| 0.1950| 0.3305|20.8796| 0.3837|
2008at        |B |54616.21137| 2| 0.2760| 0.1322|21.3593| 0.3060|
2008at        |V |54530.26914| 6| 0.0230| 0.0466|17.7221| 0.0520|
2008at        |V |54539.18044| 3| 0.0330| 0.0748|18.2646| 0.0818|
2008at        |V |54547.15682| 3| 0.0430| 0.0514|18.6043| 0.0671|
2008at        |V |54549.28527| 3| 0.1640| 0.0710|19.0589| 0.1787|
2008at        |V |54551.22896| 3| 0.0540| 0.0697|19.0407| 0.0882|
2008at        |V |54553.15839| 3| 0.0620| 0.0307|19.2649| 0.0692|
2008at        |V |54556.20015| 3| 0.0870| 0.0570|19.5655| 0.1040|
2008at        |V |54558.16877| 3| 0.1040| 0.0645|19.7187| 0.1224|
2008at        |V |54561.23269| 3| 0.0830| 0.0356|19.6529| 0.0903|
2008at        |V |54567.29671| 3| 0.1180| 0.0312|20.0461| 0.1221|
2008at        |V |54569.16877| 3| 0.1200| 0.0941|20.0905| 0.1525|
2008at        |V |54570.13315| 3| 0.1740| 0.1318|20.1595| 0.2183|
2008at        |V |54576.23931| 3| 0.2360| 0.1796|20.3777| 0.2966|
2008at        |V |54579.16191| 3| 0.1590| 0.2213|20.3096| 0.2725|
2008at        |V |54584.16014| 3| 0.1440| 0.2129|20.2843| 0.2571|
2008at        |V |54586.16329| 2| 0.2225| 0.1881|20.8049| 0.2913|
2008at        |V |54590.18778| 1| 0.2630| 0.1809|20.8700| 0.3192|
2008at        |V |54593.20389| 1| 0.2890| 0.1659|20.6429| 0.3332|
2008at        |V |54596.15417| 1| 0.3450| 0.2131|21.3394| 0.4055|
2008at        |V |54597.27684| 2| 0.2665| 0.2213|21.1201| 0.3464|
2008at        |V |54616.20765| 2| 0.3195| 0.1372|21.2587| 0.3477|
2008at        |r'|54530.26683| 4| 0.0210| 0.0166|17.5040| 0.0268|
2008at        |r'|54539.17811| 2| 0.0240| 0.0021|17.9225| 0.0241|
2008at        |r'|54547.15450| 2| 0.0295| 0.0078|18.2331| 0.0305|
2008at        |r'|54549.28295| 2| 0.0655| 0.0311|18.3588| 0.0725|
2008at        |r'|54551.22665| 2| 0.0340| 0.0170|18.4848| 0.0380|
2008at        |r'|54553.15608| 2| 0.0355| 0.0219|18.5456| 0.0417|
2008at        |r'|54556.19784| 2| 0.0460| 0.0240|18.8335| 0.0519|
2008at        |r'|54558.16645| 2| 0.0485| 0.0354|18.9661| 0.0600|
2008at        |r'|54561.23037| 2| 0.0595| 0.0240|19.1905| 0.0642|
2008at        |r'|54567.29440| 2| 0.0675| 0.0219|19.3876| 0.0710|
2008at        |r'|54569.16646| 2| 0.0710| 0.0247|19.4564| 0.0752|
2008at        |r'|54570.13083| 2| 0.1070| 0.0014|19.6746| 0.1070|
2008at        |r'|54576.23698| 2| 0.1090| 0.0205|19.8081| 0.1109|
2008at        |r'|54579.15958| 2| 0.0885| 0.0481|19.7508| 0.1007|
2008at        |r'|54584.15784| 2| 0.1220| 0.0870|19.9084| 0.1498|
2008at        |r'|54586.16096| 2| 0.1070| 0.0820|19.9971| 0.1348|
2008at        |r'|54590.18546| 2| 0.0995| 0.0049|19.9523| 0.0996|
2008at        |r'|54596.15185| 2| 0.1670| 0.0806|20.3981| 0.1854|
2008at        |r'|54597.27453| 2| 0.1490| 0.0587|20.4134| 0.1601|
2008at        |r'|54616.20464| 2| 0.2925| 0.1945|21.1310| 0.3512|
2008at        |i'|54530.26451| 6| 0.0295| 0.0311|17.8945| 0.0429|
2008at        |i'|54539.17581| 3| 0.0350| 0.0630|18.2255| 0.0720|
2008at        |i'|54547.15219| 3| 0.0340| 0.0105|18.0974| 0.0356|
2008at        |i'|54549.28065| 3| 0.0550| 0.0295|18.3649| 0.0624|
2008at        |i'|54551.22433| 3| 0.0370| 0.0061|18.2613| 0.0375|
2008at        |i'|54553.15376| 3| 0.0360| 0.0101|18.3047| 0.0374|
2008at        |i'|54556.19553| 3| 0.0460| 0.0166|18.5554| 0.0489|
2008at        |i'|54558.16414| 3| 0.0590| 0.0387|18.7461| 0.0706|
2008at        |i'|54561.22804| 3| 0.0610| 0.0085|18.9665| 0.0616|
2008at        |i'|54567.29208| 3| 0.0840| 0.0418|19.2562| 0.0938|
2008at        |i'|54569.16415| 3| 0.0810| 0.0330|19.3363| 0.0875|
2008at        |i'|54570.12851| 2| 0.1415| 0.1223|19.5834| 0.1870|
2008at        |i'|54576.23466| 3| 0.1440| 0.0261|19.5851| 0.1463|
2008at        |i'|54579.15727| 3| 0.1210| 0.0887|19.7926| 0.1500|
2008at        |i'|54584.15552| 3| 0.1340| 0.0869|19.7323| 0.1597|
2008at        |i'|54586.15865| 3| 0.1530| 0.1041|20.0706| 0.1851|
2008at        |i'|54590.18311| 3| 0.1970| 0.1065|20.3410| 0.2239|
2008at        |i'|54593.19925| 2| 0.3210| 0.1146|20.6832| 0.3408|
2008at        |i'|54596.14954| 3| 0.1510| 0.0114|19.9723| 0.1514|
2008at        |i'|54597.27221| 3| 0.1820| 0.0512|20.5085| 0.1891|
2008at        |i'|54616.20162| 3| 0.2620| 0.0405|20.7518| 0.2651|
2008bi        |B |54554.11454| 3| 0.0470| 0.0405|18.6109| 0.0620|
2008bi        |B |54555.11491| 3| 0.0490| 0.0418|18.6822| 0.0644|
2008bi        |B |54556.12343| 3| 0.0480| 0.0482|18.8866| 0.0680|
2008bi        |B |54565.19080| 3| 0.0950| 0.0552|19.5790| 0.1099|
2008bi        |B |54583.13274| 3| 0.1660| 0.0101|19.9528| 0.1663|
2008bi        |B |54594.14833| 3| 0.1890| 0.1705|20.2846| 0.2546|
2008bi        |V |54554.11152| 4| 0.0205| 0.0126|17.1352| 0.0241|
2008bi        |V |54555.11188| 4| 0.0230| 0.0190|17.2635| 0.0298|
2008bi        |V |54556.12041| 4| 0.0235| 0.0130|17.3958| 0.0269|
2008bi        |V |54565.18780| 4| 0.0505| 0.0286|18.3760| 0.0580|
2008bi        |V |54569.11860| 4| 0.0565| 0.0855|18.5644| 0.1025|
2008bi        |V |54572.15021| 4| 0.0680| 0.0675|18.8719| 0.0958|
2008bi        |V |54575.23254| 4| 0.1010| 0.1392|19.2146| 0.1720|
2008bi        |V |54583.12973| 4| 0.1135| 0.1800|19.3234| 0.2128|
2008bi        |V |54586.15060| 4| 0.1065| 0.0723|19.5732| 0.1287|
2008bi        |V |54594.14532| 4| 0.1690| 0.1705|19.8919| 0.2401|
2008bi        |V |54597.15451| 4| 0.1615| 0.0584|19.6789| 0.1717|
2008bi        |V |54599.13551| 3| 0.1420| 0.0716|19.6117| 0.1590|
2008bi        |r'|54554.10920| 4| 0.0195| 0.0161|16.8230| 0.0253|
2008bi        |r'|54555.10956| 4| 0.0200| 0.0156|16.9237| 0.0253|
2008bi        |r'|54556.11809| 4| 0.0200| 0.0164|16.9863| 0.0259|
2008bi        |r'|54565.18547| 4| 0.0325| 0.0881|17.9717| 0.0939|
2008bi        |r'|54569.11628| 2| 0.0645| 0.1054|18.3706| 0.1235|
2008bi        |r'|54572.14789| 4| 0.0515| 0.1117|18.4881| 0.1230|
2008bi        |r'|54575.23022| 4| 0.0595| 0.0223|18.6657| 0.0635|
2008bi        |r'|54583.12742| 4| 0.0865| 0.1214|19.2475| 0.1491|
2008bi        |r'|54586.14827| 4| 0.0945| 0.1931|19.4487| 0.2150|
2008bi        |r'|54594.14301| 3| 0.1630| 0.0652|20.0117| 0.1756|
2008bi        |r'|54597.15221| 4| 0.2045| 0.2407|19.9410| 0.3159|
2008bi        |r'|54599.13319| 3| 0.2540| 0.3527|20.2969| 0.4346|
2008bi        |i'|54554.10687| 3| 0.0240| 0.0188|16.8590| 0.0305|
2008bi        |i'|54555.10726| 3| 0.0230| 0.0162|16.9171| 0.0281|
2008bi        |i'|54556.11579| 3| 0.0240| 0.0061|16.9781| 0.0248|
2008bi        |i'|54565.18316| 3| 0.0370| 0.0580|17.8146| 0.0688|
2008bi        |i'|54569.11398| 3| 0.0600| 0.1065|18.2507| 0.1222|
2008bi        |i'|54572.14559| 3| 0.0480| 0.0341|18.4019| 0.0589|
2008bi        |i'|54575.22790| 3| 0.0610| 0.0377|18.5302| 0.0717|
2008bi        |i'|54583.12512| 3| 0.0890| 0.1035|19.1017| 0.1365|
2008bi        |i'|54586.14596| 2| 0.1095| 0.0601|19.3982| 0.1249|
2008bi        |i'|54590.15038| 2| 0.1490| 0.1775|19.6434| 0.2317|
2008bi        |i'|54594.14069| 3| 0.1200| 0.2149|19.6130| 0.2462|
2008bi        |i'|54597.14990| 3| 0.1440| 0.0827|19.5451| 0.1661|
2008bw        |B |54579.32561| 4| 0.0365| 0.0496|17.9480| 0.0616|
2008bw        |B |54590.47250| 5| 0.0790| 0.1511|19.3493| 0.1705|
2008bw        |B |54593.43749| 5| 0.0750| 0.1742|19.6318| 0.1897|
2008bw        |B |54594.45380| 5| 0.0880| 0.1542|19.6773| 0.1776|
2008bw        |B |54603.41109| 6| 0.2435| 0.3616|20.2861| 0.4359|
2008bw        |B |54606.46277| 4| 0.1715| 0.2419|19.8273| 0.2965|
2008bw        |B |54615.44795| 5| 0.1550| 0.3412|20.4650| 0.3748|
2008bw        |B |54616.45560| 5| 0.2150| 0.3897|20.5335| 0.4451|
2008bw        |B |54618.43060| 4| 0.0980| 0.1914|20.0263| 0.2150|
2008bw        |B |54622.43905| 4| 0.1525| 0.2961|20.5297| 0.3331|
2008bw        |B |54624.40589| 3| 0.1680| 0.4461|20.8240| 0.4767|
2008bw        |B |54625.45147|10| 0.1625| 0.2714|20.1921| 0.3163|
2008bw        |B |54626.45763| 5| 0.2070| 0.3301|20.5782| 0.3896|
2008bw        |B |54629.38575| 4| 0.1935| 0.4508|20.4430| 0.4906|
2008bw        |B |54631.35602| 5| 0.1940| 0.3523|20.3612| 0.4022|
2008bw        |B |54635.42536| 2| 0.3320| 0.0163|19.9502| 0.3324|
2008bw        |B |54639.30830| 5| 0.3110| 0.0570|20.0755| 0.3162|
2008bw        |B |54643.38068| 4| 0.2435| 0.4327|20.5063| 0.4965|
2008bw        |B |54645.37428| 5| 0.2070| 0.3994|20.5754| 0.4499|
2008bw        |V |54579.32260| 5| 0.0250| 0.0272|17.4945| 0.0370|
2008bw        |V |54590.46949| 5| 0.0360| 0.0136|18.2249| 0.0385|
2008bw        |V |54593.43447| 5| 0.0450| 0.0281|18.5376| 0.0531|
2008bw        |V |54594.45077| 5| 0.0510| 0.0403|18.6778| 0.0650|
2008bw        |V |54603.40681| 4| 0.1055| 0.0392|19.3139| 0.1125|
2008bw        |V |54606.45976| 5| 0.0750| 0.0402|19.0724| 0.0851|
2008bw        |V |54614.45316| 5| 0.0820| 0.0875|19.3200| 0.1199|
2008bw        |V |54615.44494| 5| 0.1080| 0.0349|19.5784| 0.1135|
2008bw        |V |54616.45259| 5| 0.1000| 0.0680|19.5532| 0.1209|
2008bw        |V |54618.42757| 5| 0.0760| 0.1250|19.5720| 0.1463|
2008bw        |V |54622.43535| 5| 0.1070| 0.1230|19.9024| 0.1631|
2008bw        |V |54624.40218| 5| 0.1290| 0.0943|19.8592| 0.1598|
2008bw        |V |54625.44775|10| 0.1045| 0.0653|19.6617| 0.1232|
2008bw        |V |54626.45392| 5| 0.1360| 0.1147|19.8757| 0.1779|
2008bw        |V |54629.38205| 5| 0.1250| 0.0879|19.7888| 0.1528|
2008bw        |V |54631.35230| 5| 0.1780| 0.1196|19.8931| 0.2145|
2008bw        |V |54634.37808| 3| 0.1490| 0.0421|19.6372| 0.1548|
2008bw        |V |54635.43568| 5| 0.2580| 0.1479|19.8118| 0.2974|
2008bw        |V |54636.35587| 2| 0.2425| 0.1527|20.1119| 0.2866|
2008bw        |V |54639.29948| 8| 0.2630| 0.1229|20.0453| 0.2903|
2008bw        |V |54643.37696| 5| 0.1830| 0.1611|20.0555| 0.2438|
2008bw        |V |54645.37058| 5| 0.2010| 0.0901|20.2934| 0.2203|
2008bw        |V |54646.36097| 5| 0.1630| 0.1002|19.6593| 0.1913|
2008bw        |V |54649.30866| 5| 0.1380| 0.1056|20.2057| 0.1738|
2008bw        |V |54676.29108| 5| 0.2420| 0.2068|20.5110| 0.3183|
2008bw        |r'|54579.32029| 4| 0.0230| 0.0118|17.4959| 0.0259|
2008bw        |r'|54590.46716| 4| 0.0270| 0.0084|17.8888| 0.0283|
2008bw        |r'|54593.43214| 4| 0.0320| 0.0151|18.1650| 0.0354|
2008bw        |r'|54594.44846| 4| 0.0335| 0.0160|18.2692| 0.0371|
2008bw        |r'|54603.40449| 3| 0.0620| 0.0133|18.8099| 0.0634|
2008bw        |r'|54606.45745| 4| 0.0565| 0.0235|18.8408| 0.0612|
2008bw        |r'|54608.43251| 4| 0.0925| 0.0435|19.0550| 0.1022|
2008bw        |r'|54614.45084| 3| 0.0600| 0.0397|19.1318| 0.0720|
2008bw        |r'|54615.44262| 4| 0.0710| 0.0567|19.2526| 0.0909|
2008bw        |r'|54616.45028| 3| 0.0630| 0.0621|19.2734| 0.0885|
2008bw        |r'|54622.43233| 3| 0.0660| 0.0407|19.4606| 0.0776|
2008bw        |r'|54624.39915| 4| 0.0850| 0.0316|19.4998| 0.0907|
2008bw        |r'|54625.44372| 7| 0.0890| 0.0913|19.4408| 0.1275|
2008bw        |r'|54626.45090| 4| 0.0935| 0.0735|19.5181| 0.1189|
2008bw        |r'|54629.37902| 4| 0.1035| 0.0567|19.6493| 0.1180|
2008bw        |r'|54631.34928| 4| 0.1085| 0.0551|19.7462| 0.1217|
2008bw        |r'|54634.37506| 4| 0.1205| 0.0395|19.7256| 0.1268|
2008bw        |r'|54635.42915| 4| 0.1675| 0.0608|19.9263| 0.1782|
2008bw        |r'|54636.35286| 4| 0.1130| 0.0641|19.7411| 0.1299|
2008bw        |r'|54639.30092| 7| 0.1820| 0.1086|19.8244| 0.2119|
2008bw        |r'|54643.37396| 4| 0.1340| 0.0567|19.9918| 0.1455|
2008bw        |r'|54645.36757| 4| 0.1380| 0.1121|20.0614| 0.1778|
2008bw        |r'|54649.30564| 4| 0.1255| 0.0891|20.0732| 0.1539|
2008bw        |i'|54579.31797| 5| 0.0430| 0.0102|18.1755| 0.0442|
2008bw        |i'|54590.46487| 5| 0.0320| 0.0220|17.9946| 0.0388|
2008bw        |i'|54593.42983| 5| 0.0340| 0.0211|18.1531| 0.0400|
2008bw        |i'|54594.44615| 5| 0.0420| 0.0587|18.3676| 0.0721|
2008bw        |i'|54603.40218| 4| 0.1020| 0.0879|19.0590| 0.1346|
2008bw        |i'|54606.45514| 5| 0.1140| 0.1128|19.4571| 0.1604|
2008bw        |i'|54608.43018| 5| 0.1890| 0.1376|19.5061| 0.2338|
2008bw        |i'|54614.44852| 5| 0.0950| 0.0470|19.4030| 0.1060|
2008bw        |i'|54615.44031| 5| 0.1440| 0.0859|19.9316| 0.1677|
2008bw        |i'|54616.44796| 5| 0.1040| 0.0876|19.5498| 0.1360|
2008bw        |i'|54618.42295| 4| 0.1315| 0.1771|19.8030| 0.2206|
2008bw        |i'|54622.42931| 5| 0.1830| 0.2039|19.9035| 0.2740|
2008bw        |i'|54624.39613| 5| 0.1630| 0.1689|19.8630| 0.2347|
2008bw        |i'|54625.44171|10| 0.1505| 0.1601|19.9348| 0.2197|
2008bw        |i'|54626.44789| 5| 0.1450| 0.1272|19.8444| 0.1929|
2008bw        |i'|54629.37601| 5| 0.2370| 0.1817|20.3679| 0.2986|
2008bw        |i'|54631.34626| 4| 0.2150| 0.1062|20.3851| 0.2398|
2008bw        |i'|54634.37206| 4| 0.2510| 0.2168|20.4472| 0.3317|
2008bw        |i'|54635.42262| 2| 0.3405| 0.1245|19.9716| 0.3625|
2008bw        |i'|54636.34985| 4| 0.1930| 0.0278|19.9182| 0.1950|
2008bw        |i'|54643.39481| 6| 0.2140| 0.1506|20.4525| 0.2617|
2008bw        |i'|54645.36456| 3| 0.2710| 0.1586|20.7707| 0.3140|
2008bw        |i'|54649.30262| 2| 0.3370| 0.0665|21.0937| 0.3435|
2008by        |B |54582.13167| 4| 0.0250| 0.0062|17.4215| 0.0258|
2008by        |B |54583.21638| 4| 0.0240| 0.0069|17.4836| 0.0250|
2008by        |B |54584.24383| 1| 0.0180| 0.0362|17.4804| 0.0404|
2008by        |B |54586.39707| 3| 0.0230| 0.0105|17.7511| 0.0253|
2008by        |B |54603.26132| 2| 0.1930| 0.0841|19.4229| 0.2105|
2008by        |B |54621.18883| 5| 0.1680| 0.0843|20.1282| 0.1880|
2008by        |B |54624.19110| 4| 0.1420| 0.1187|20.1304| 0.1851|
2008by        |B |54631.17248| 2| 0.2395| 0.0304|20.3558| 0.2414|
2008by        |V |54582.12865| 5| 0.0280| 0.0212|17.3258| 0.0351|
2008by        |V |54583.21336| 5| 0.0220| 0.0170|17.3765| 0.0278|
2008by        |V |54584.24081| 4| 0.0210| 0.0300|17.4508| 0.0366|
2008by        |V |54586.39405| 5| 0.0230| 0.0248|17.5596| 0.0339|
2008by        |V |54603.25212|10| 0.0675| 0.0597|18.5492| 0.0901|
2008by        |V |54621.18583| 5| 0.0800| 0.0906|19.3008| 0.1208|
2008by        |V |54624.18809| 5| 0.0970| 0.0416|19.4676| 0.1055|
2008by        |V |54631.16947| 4| 0.2285| 0.1096|20.1060| 0.2534|
2008by        |V |54636.21338| 4| 0.1960| 0.3033|19.7553| 0.3611|
2008by        |r'|54582.12632| 4| 0.0220| 0.0274|17.4025| 0.0352|
2008by        |r'|54583.21104| 3| 0.0210| 0.0074|17.4776| 0.0223|
2008by        |r'|54584.23849| 4| 0.0210| 0.0242|17.5173| 0.0320|
2008by        |r'|54586.39173| 4| 0.0225| 0.0155|17.6419| 0.0273|
2008by        |r'|54603.24980| 8| 0.0415| 0.0375|18.2384| 0.0559|
2008by        |r'|54621.18353| 4| 0.0570| 0.0172|19.1327| 0.0595|
2008by        |r'|54624.18577| 3| 0.0520| 0.0385|19.0988| 0.0647|
2008by        |r'|54631.16716| 4| 0.0990| 0.0313|19.4191| 0.1038|
2008by        |r'|54636.21108| 4| 0.1285| 0.0695|19.4235| 0.1461|
2008by        |i'|54582.12400| 4| 0.0360| 0.0242|18.1035| 0.0434|
2008by        |i'|54583.20875| 4| 0.0330| 0.0108|18.2236| 0.0347|
2008by        |i'|54584.23618| 3| 0.0420| 0.0499|18.4445| 0.0653|
2008by        |i'|54586.38942| 4| 0.0515| 0.0194|18.5867| 0.0550|
2008by        |i'|54603.24749| 8| 0.0500| 0.0685|18.4795| 0.0848|
2008by        |i'|54621.18121| 4| 0.0675| 0.0567|19.2160| 0.0881|
2008by        |i'|54624.18345| 4| 0.0870| 0.0791|19.3137| 0.1176|
2008by        |i'|54631.16486| 4| 0.1275| 0.0435|19.7583| 0.1347|
2008by        |i'|54636.20876| 4| 0.2010| 0.0905|19.8114| 0.2204|
2008bz        |U |54581.15147| 4| 0.0695| 0.0333|17.9488| 0.0771|
2008bz        |U |54582.19897| 3| 0.0760| 0.1230|18.1567| 0.1446|
2008bz        |U |54587.25646| 4| 0.1035| 0.0682|18.6567| 0.1240|
2008bz        |U |54589.15619| 5| 0.1350| 0.2000|19.0077| 0.2413|
2008bz        |U |54597.36265| 2| 0.2280| 0.1704|19.9692| 0.2846|
